Date,Symbol,Open,High,Low,Close,Adj Close,Volume
9/14/2018,KSS,80.129997,81.150002,78.949997,80.839996,77.189705,2194400
9/17/2018,KSS,80.839996,80.839996,78.760002,79.260002,75.681061,2061400
9/18/2018,KSS,79.309998,80.25,79.300003,79.599998,76.005707,2325900
9/19/2018,KSS,79.610001,80.32,79.260002,79.519997,75.929314,2005600
9/20/2018,KSS,79.330002,79.739998,76.169998,76.949997,73.475365,3891900
9/21/2018,KSS,77.230003,78.269997,75.559998,75.879997,72.453682,3799200
9/24/2018,KSS,76.07,76.800003,74.610001,74.650002,71.279228,2783900
9/25/2018,KSS,74.82,75.620003,73.940002,74.410004,71.050064,3409300
9/26/2018,KSS,74.690002,76.660004,74.199997,75.599998,72.186325,3077200
9/27/2018,KSS,75.199997,76.5,74.580002,74.730003,71.355606,2142700
9/28/2018,KSS,74.839996,75.510002,74.099998,74.550003,71.183731,2071100
10/1/2018,KSS,74.699997,76.510002,74.339996,76.050003,72.616013,2826300
10/2/2018,KSS,76.190002,77.080002,73.019997,73.07,69.770569,3373000
10/3/2018,KSS,73.050003,73.230003,71.669998,72.849998,69.560493,3423200
10/4/2018,KSS,73.199997,73.730003,71.120003,71.879997,68.634293,3703200
10/5/2018,KSS,72.029999,73.199997,71.269997,72.230003,68.968491,2591600
10/8/2018,KSS,72.279999,72.5,70.599998,71.919998,68.672485,2012200
10/9/2018,KSS,71.919998,72.900002,70.739998,70.940002,67.736748,2217400
10/10/2018,KSS,71.43,73.82,71.349998,71.730003,68.491074,4842700
10/11/2018,KSS,71.800003,74.389999,70.589996,70.82,67.622162,3779200
10/12/2018,KSS,71.910004,73.459999,71.769997,72.650002,69.36953,3612200
10/15/2018,KSS,72.849998,73.699997,71.290001,71.510002,68.280998,1985700
10/16/2018,KSS,71.75,73.440002,71.279999,73.400002,70.085663,2156300
10/17/2018,KSS,73.080002,73.57,70.309998,70.839996,67.641258,2900300
10/18/2018,KSS,70.629997,72.330002,70.120003,71.449997,68.223709,2567600
10/19/2018,KSS,72.050003,72.559998,70.82,71.260002,68.042297,3323400
10/22/2018,KSS,71.720001,73.449997,71.599998,73.019997,69.722816,3011800
10/23/2018,KSS,72.099998,73.57,70.370003,73.309998,69.999718,3071100
10/24/2018,KSS,73.160004,75.110001,72.110001,72.209999,68.949394,3491800
10/25/2018,KSS,72.160004,74.5,72.139999,73.93,70.591736,2940300
10/26/2018,KSS,73.75,75.169998,72.550003,73.779999,70.448502,2624800
10/29/2018,KSS,74.489998,77.25,74.489998,75.940002,72.510971,4030400
10/30/2018,KSS,76.18,78.769997,76.050003,78.419998,74.87899,4321200
10/31/2018,KSS,78.639999,78.809998,75.68,75.730003,72.310455,6367200
11/1/2018,KSS,75.879997,76.470001,74.669998,75.620003,72.205429,3742900
11/2/2018,KSS,77.150002,79.32,76.190002,76.900002,73.427628,4765000
11/5/2018,KSS,77.059998,79.290001,76.150002,79.199997,75.623764,2848500
11/6/2018,KSS,79.040001,80.459999,78.279999,80.239998,76.616806,2937200
11/7/2018,KSS,80.209999,81.300003,78.459999,80.830002,77.180176,3557100
11/8/2018,KSS,81.139999,82.949997,81.010002,81.949997,78.249588,2980200
11/9/2018,KSS,81.900002,82.989998,81.239998,81.970001,78.2687,2273900
11/12/2018,KSS,82.440002,83.279999,80.339996,80.75,77.103775,3308700
11/13/2018,KSS,81.199997,81.900002,79.660004,80.150002,76.530861,3962200
11/14/2018,KSS,79.879997,82.089996,75.57,75.800003,72.377289,5841200
11/15/2018,KSS,73.779999,74.449997,72.510002,73.220001,69.913788,4982100
11/16/2018,KSS,71.669998,72.779999,69.300003,72.489998,69.216751,6852500
11/19/2018,KSS,73.220001,73.879997,70.550003,71,67.794029,5245500
11/20/2018,KSS,62.869999,65.68,62.029999,64.449997,61.539795,10477900
11/21/2018,KSS,66,66.980003,64.779999,66.300003,63.306263,4942100
11/23/2018,KSS,65.830002,65.910004,63.470001,63.830002,60.947792,3920800
11/26/2018,KSS,64.620003,65.889999,63.549999,65.669998,62.7047,5359200
11/27/2018,KSS,65.559998,68.300003,65.5,68.120003,65.044083,4557000
11/28/2018,KSS,68.129997,69.190002,66.910004,69.139999,66.018028,4280000
11/29/2018,KSS,69,69.089996,65.830002,67.099998,64.070137,6740500
11/30/2018,KSS,67.089996,67.790001,66.559998,67.169998,64.136978,3813000
12/3/2018,KSS,68.519997,69.07,66.5,68.019997,64.948593,3926400
12/4/2018,KSS,67.580002,67.900002,64.580002,64.900002,61.969479,3820400
12/6/2018,KSS,64.760002,65.730003,63.630001,65.629997,62.666512,3094600
12/7/2018,KSS,65.339996,65.779999,62.25,62.48,59.658749,3346700
12/10/2018,KSS,63.25,64.080002,61.799999,63.830002,60.947792,3574900
12/11/2018,KSS,63.98,64.800003,62.790001,62.950001,60.687496,2197200
12/12/2018,KSS,63.98,64.440002,63.16,64.010002,61.7094,2622300
12/13/2018,KSS,64.059998,64.190002,60.610001,61.18,58.981113,3471400
12/14/2018,KSS,60.889999,62.439999,60.380001,61.240002,59.038956,3500900
12/17/2018,KSS,60.599998,62.380001,59.880001,60.919998,58.730457,4115800
12/18/2018,KSS,61.41,62.52,61.02,62.41,60.166904,3775300
12/19/2018,KSS,62.73,63.599998,61.389999,61.66,59.443859,4797600
12/20/2018,KSS,61.439999,61.889999,59.099998,59.970001,57.814602,3197100
12/21/2018,KSS,60.110001,61.950001,58.93,59.400002,57.265087,7087600
12/24/2018,KSS,58.98,61,58.66,59.790001,57.641068,1560400
12/26/2018,KSS,60.610001,66.019997,60.5,65.919998,63.550743,5484700
12/27/2018,KSS,65.019997,65.660004,62.299999,64.82,62.490284,4470600
12/28/2018,KSS,65.110001,66.260002,64.559998,65.059998,62.721657,2694300
12/31/2018,KSS,65.269997,66.720001,65.269997,66.339996,63.955654,2760400
1/2/2019,KSS,65.269997,69.239998,65.07,67.800003,65.363182,6323900
1/3/2019,KSS,67.239998,68.029999,66.050003,66.370003,63.984573,3885900
1/4/2019,KSS,67.379997,67.470001,65.089996,66.410004,64.023148,3749600
1/7/2019,KSS,66.699997,69.550003,65.910004,68.010002,65.565636,3578100
1/8/2019,KSS,68.870003,69.489998,67.019997,69.18,66.693588,3278500
1/9/2019,KSS,69.559998,70.870003,68.400002,69.900002,67.387711,4238300
1/10/2019,KSS,63.150002,66.68,62.57,66.540001,64.148468,11174000
1/11/2019,KSS,66.610001,67.989998,66.169998,67.269997,64.852234,3425000
1/14/2019,KSS,66.760002,67.790001,66.209999,66.639999,64.244865,2796500
1/15/2019,KSS,66.620003,67.379997,66.050003,67.260002,64.84259,2086000
1/16/2019,KSS,66.660004,67.519997,66.150002,67.459999,65.0354,2604900
1/17/2019,KSS,67.18,68.889999,66.870003,68.839996,66.365799,2263000
1/18/2019,KSS,69.389999,70.370003,69.25,69.949997,67.435905,2596000
1/22/2019,KSS,69.720001,71.459999,68.879997,69.300003,66.809273,5502200
1/23/2019,KSS,69.699997,69.849998,67.839996,69.489998,66.992439,2385700
1/24/2019,KSS,69.449997,69.449997,67.519997,68.339996,65.883766,2544200
1/25/2019,KSS,69.080002,70.699997,68.440002,70.699997,68.158943,2277900
1/28/2019,KSS,69.919998,69.989998,68.989998,69.43,66.934593,2304300
1/29/2019,KSS,69.18,69.760002,67.989998,69.559998,67.059929,2251700
1/30/2019,KSS,69.970001,70,68.129997,69.099998,66.616447,2349300
1/31/2019,KSS,68.870003,69.25,67.959999,68.690002,66.221191,3370300
2/1/2019,KSS,68.839996,68.839996,66.279999,66.690002,64.293076,3854500
2/4/2019,KSS,66.629997,67.330002,66.019997,67.099998,64.688339,3352700
2/5/2019,KSS,67.370003,68.690002,67.25,68.129997,65.68132,2832100
2/6/2019,KSS,67.720001,67.949997,66.529999,66.82,64.418411,2082800
2/7/2019,KSS,66.519997,67.230003,66.040001,66.540001,64.148468,2973600
2/8/2019,KSS,66.269997,66.360001,64.550003,64.860001,62.528847,3825600
2/11/2019,KSS,65,65,63,64.370003,62.056461,4050200
2/12/2019,KSS,64.919998,66.699997,64.730003,66.120003,63.743565,3319500
2/13/2019,KSS,66.279999,66.779999,64.889999,66.510002,64.119553,2586300
2/14/2019,KSS,65.610001,66.699997,64.800003,66.029999,63.656788,2886100
2/15/2019,KSS,66.410004,66.440002,65.370003,65.93,63.560398,2543600
2/19/2019,KSS,65.989998,66.610001,65.690002,66.239998,63.859249,3090900
2/20/2019,KSS,66.32,66.720001,65.389999,65.449997,63.097637,1994800
2/21/2019,KSS,65.690002,66.290001,65.07,65.220001,62.875912,1846400
2/22/2019,KSS,65.110001,65.129997,64.019997,64.370003,62.056461,2986700
2/25/2019,KSS,64.75,66.629997,64.709999,65.860001,63.492901,5303400
2/26/2019,KSS,66.110001,67.019997,65.379997,66.230003,63.849609,3223800
2/27/2019,KSS,66.370003,68.07,66.239998,67.849998,65.411385,4112700
2/28/2019,KSS,67.860001,68.129997,66.610001,67.529999,65.102882,5088600
3/1/2019,KSS,68.389999,69.540001,68.029999,68.099998,65.65239,3591600
3/4/2019,KSS,68.43,68.5,66.389999,66.470001,64.080978,5463600
3/5/2019,KSS,67.559998,71.879997,67.150002,71.330002,68.766312,11084800
3/6/2019,KSS,72,72.5,69.459999,70.019997,67.503387,4163800
3/7/2019,KSS,69.769997,70.610001,68.779999,68.970001,66.491135,3318600
3/8/2019,KSS,68.360001,68.360001,66.639999,67.769997,65.334259,3421200
3/11/2019,KSS,67.779999,69.589996,67.769997,69.550003,67.050285,2611000
3/12/2019,KSS,69.919998,69.989998,68.75,69.699997,67.194885,2657100
3/13/2019,KSS,69.839996,69.839996,68.190002,68.589996,66.124779,3542300
3/14/2019,KSS,68.019997,68.75,67.480003,68.470001,66.009102,2499100
3/15/2019,KSS,68.540001,68.839996,67.580002,67.980003,65.536713,4676300
3/18/2019,KSS,68,69.230003,67.68,69.110001,66.626099,2263200
3/19/2019,KSS,68.82,69.660004,68.68,69.110001,67.278343,2603600
3/20/2019,KSS,68.900002,69.269997,67.669998,68.07,66.2659,1771600
3/21/2019,KSS,67.839996,68.559998,67.639999,68.419998,66.606621,2846900
3/22/2019,KSS,68.389999,68.669998,66.839996,67.029999,65.253471,2522000
3/25/2019,KSS,66.800003,69.699997,66.760002,68.730003,66.908417,2770200
3/26/2019,KSS,69.360001,70.269997,68.339996,68.900002,67.073914,2432200
