Date,Symbol,Open,High,Low,Close,Adj Close,Volume
9/14/2018,TGT,88.120003,88.519997,87.540001,87.940002,85.025177,3433300
9/17/2018,TGT,88.18,88.209999,87.139999,87.279999,84.387047,2857300
9/18/2018,TGT,86.959999,87.970001,86.650002,87.68,84.773781,5014100
9/19/2018,TGT,87.68,87.940002,86.379997,87.160004,84.271027,3218500
9/20/2018,TGT,87.370003,87.639999,86.720001,87.379997,84.483727,3242100
9/21/2018,TGT,87.529999,88.660004,87.059998,87.309998,84.416054,6707500
9/24/2018,TGT,87.209999,88.529999,87.040001,87.239998,84.348366,3475700
9/25/2018,TGT,87.419998,87.989998,86.860001,87.309998,84.416054,2949600
9/26/2018,TGT,87.449997,88.370003,87.260002,87.889999,84.976822,3880100
9/27/2018,TGT,87.839996,88.239998,87.379997,87.510002,84.609428,3075800
9/28/2018,TGT,87.660004,88.290001,87.480003,88.209999,85.286224,3924000
10/1/2018,TGT,88.330002,88.790001,88.209999,88.470001,85.537605,3154800
10/2/2018,TGT,88.360001,89.389999,86.419998,86.620003,83.748924,4258800
10/3/2018,TGT,86.730003,86.75,85.650002,85.970001,83.120468,4270700
10/4/2018,TGT,85.839996,86.519997,84.419998,84.839996,82.027916,5473200
10/5/2018,TGT,84.849998,85.230003,83.809998,84.519997,81.718529,5075200
10/8/2018,TGT,84.389999,85.559998,84.169998,85.400002,82.569351,3732000
10/9/2018,TGT,85.489998,86.800003,85.489998,85.660004,82.820747,3330900
10/10/2018,TGT,85.669998,86.809998,85.07,85.199997,82.375984,4952600
10/11/2018,TGT,85.419998,86.129997,82.699997,82.800003,80.055542,5091000
10/12/2018,TGT,84.089996,85.760002,83.769997,84.610001,81.80555,5128900
10/15/2018,TGT,84.559998,85.309998,84.32,84.599998,81.795876,3345500
10/16/2018,TGT,85.139999,86.07,84.550003,85.809998,82.965775,2691700
10/17/2018,TGT,85.559998,85.949997,83.540001,84.419998,81.621841,4191800
10/18/2018,TGT,83.589996,84.580002,82,83.360001,80.596977,4242600
10/19/2018,TGT,83.730003,83.769997,81.919998,82.019997,79.301392,5464400
10/22/2018,TGT,82.5,83.779999,82.5,83.230003,80.471291,3420200
10/23/2018,TGT,81.279999,82.949997,81.07,82.669998,79.929848,4517500
10/24/2018,TGT,82.589996,84.300003,82.110001,82.269997,79.543098,5098800
10/25/2018,TGT,83.18,84.580002,82.650002,83.830002,81.051407,5311600
10/26/2018,TGT,83.720001,84.260002,81.809998,81.940002,79.224045,6128800
10/29/2018,TGT,82.779999,85.519997,82.510002,84.099998,81.312447,5353000
10/30/2018,TGT,84.800003,86.470001,84.550003,85.769997,82.927094,5767600
10/31/2018,TGT,86.470001,86.470001,83.519997,83.629997,80.858032,6674200
11/1/2018,TGT,83.510002,84.379997,82.980003,84.230003,81.438141,4388600
11/2/2018,TGT,84.760002,85.669998,83.459999,84.410004,81.612175,3637600
11/5/2018,TGT,84.559998,85.519997,84.110001,85.349998,82.521004,3670700
11/6/2018,TGT,85.440002,85.669998,84.93,85.589996,82.753067,3837700
11/7/2018,TGT,87.510002,87.660004,85.760002,86.760002,83.884285,6778300
11/8/2018,TGT,87,87.860001,86.790001,87.599998,84.696434,4477900
11/9/2018,TGT,87.440002,87.93,86.669998,86.940002,84.058319,3490000
11/12/2018,TGT,87.169998,87.290001,85.239998,85.470001,82.637039,4720800
11/13/2018,TGT,85.620003,85.980003,83.940002,84.32,81.525146,4328400
11/14/2018,TGT,84.519997,85.599998,82.610001,83.129997,80.374588,5625500
11/15/2018,TGT,82.849998,82.849998,80.07,80.760002,78.083168,7119000
11/16/2018,TGT,79.449997,80.160004,78.209999,79.68,77.038956,8260900
11/19/2018,TGT,79.93,80.400002,77.559998,77.790001,75.211601,9144000
11/20/2018,TGT,67.989998,71.5,66.120003,69.029999,67.295616,20866400
11/21/2018,TGT,70,70.25,68.080002,69.260002,67.519844,11724700
11/23/2018,TGT,69.190002,69.370003,67.209999,67.349998,65.657822,5652600
11/26/2018,TGT,68.07,69.339996,68.07,69.25,67.510086,10028800
11/27/2018,TGT,69.089996,71.989998,68.68,71.379997,69.586571,13392500
11/28/2018,TGT,71.389999,71.889999,69.82,71.879997,70.074005,8457200
11/29/2018,TGT,71.449997,71.540001,69.760002,71.169998,69.381836,6718400
11/30/2018,TGT,70.940002,71.669998,70.339996,70.959999,69.177116,7100400
12/3/2018,TGT,72.43,72.639999,70.809998,72.339996,70.522446,7747600
12/4/2018,TGT,72.059998,72.480003,68.5,69.309998,67.568581,9762000
12/6/2018,TGT,68.699997,69.599998,67.349998,69.540001,67.792793,6304400
12/7/2018,TGT,69.169998,69.870003,67.330002,67.809998,66.10627,5471500
12/10/2018,TGT,67.760002,68.529999,66.57,68.32,66.603447,5750900
12/11/2018,TGT,68.739998,68.809998,66.07,66.779999,65.10215,5756500
12/12/2018,TGT,67.849998,68.32,67.25,67.790001,66.086777,5451300
12/13/2018,TGT,67.419998,68.669998,65.959999,66.68,65.004662,5866800
12/14/2018,TGT,66.199997,67.919998,66.019997,67.169998,65.482346,6471700
12/17/2018,TGT,66.699997,66.709999,63.759998,64.32,62.703957,8576400
12/18/2018,TGT,64.720001,65.779999,64.57,65.309998,63.669079,7074300
12/19/2018,TGT,65.839996,65.949997,62.470001,62.830002,61.251392,6705300
12/20/2018,TGT,62.650002,63.330002,60.740002,61.700001,60.14978,8216200
12/21/2018,TGT,61.77,63.509998,60.810001,61.130001,59.594101,8825100
12/24/2018,TGT,60.709999,62.709999,60.150002,61.549999,60.003551,3623400
12/26/2018,TGT,62.400002,65.230003,61.990002,65.110001,63.474098,6157300
12/27/2018,TGT,64.370003,64.889999,62.16,64.709999,63.084152,5706000
12/28/2018,TGT,65.18,65.879997,64.43,64.959999,63.327869,4193200
12/31/2018,TGT,65.330002,66.18,65.220001,66.089996,64.429474,4178500
1/2/2019,TGT,65.059998,66.849998,64.760002,66.440002,64.770699,4549300
1/3/2019,TGT,66.129997,66.629997,65.410004,65.529999,63.883556,4562200
1/4/2019,TGT,66.239998,66.879997,65.449997,66.43,64.760941,4825900
1/7/2019,TGT,66.809998,69.879997,66.809998,69.68,67.929283,7630600
1/8/2019,TGT,70.18,70.480003,68.309998,69.610001,67.861038,6756000
1/9/2019,TGT,69.379997,70.980003,68.779999,70.290001,68.523956,6025100
1/10/2019,TGT,67.949997,68.330002,66.529999,68.290001,66.574203,13913700
1/11/2019,TGT,68.300003,70.040001,68.059998,69.610001,67.861038,5025900
1/14/2019,TGT,69.150002,69.849998,68.629997,68.839996,67.110382,4568000
1/15/2019,TGT,68.760002,68.760002,67.800003,68.209999,66.496216,3770000
1/16/2019,TGT,68.059998,68.629997,67.599998,67.849998,66.145264,4888700
1/17/2019,TGT,67.510002,69.660004,67.169998,69.370003,67.627075,4133200
1/18/2019,TGT,69.970001,70.879997,69.830002,70.68,68.90416,4484100
1/22/2019,TGT,70.379997,71.040001,69.660004,70.279999,68.514206,5763900
